,Year,Genero_Migracion,Australia*,Bolivia (Plurinational State of),Brazil,Canada,Chile,Germany,Israel,Italy,Paraguay,Peru,Spain*,United States of America*,Uruguay
0,1990,Hombres,6602,10684,15178,5190,16212,2209,12315,10390,25066,3502,20170,43141,5658
1,1990,Mujeres,6553,11239,13172,5470,16484,2290,13211,20955,25381,3578,22753,49422,8901
2,1990,Todos,13155,21923,28350,10660,32696,4499,25526,31345,50447,7080,42923,92563,14559
3,1995,Hombres,6260,12434,15391,5829,19651,2035,14003,9096,28910,3463,24493,50987,7292
4,1995,Mujeres,6281,12707,12583,6207,19600,2581,15500,16699,28615,3624,26317,59360,10678
5,1995,Todos,12541,25141,27974,12036,39251,4616,29503,25795,57525,7087,50810,110347,17970
6,2000,Hombres,5919,14043,15603,6608,22791,1861,15074,7802,32483,4050,39327,59027,9589
7,2000,Mujeres,6101,14052,11994,7090,22979,2871,16754,12443,31921,4232,40012,69370,12102
8,2000,Todos,12020,28095,27597,13698,45770,4732,31828,20245,64404,8282,79339,128397,21691
9,2005,Hombres,6414,16402,16308,7697,25600,4736,16457,21085,30947,4808,125841,70675,11491
10,2005,Mujeres,6674,16016,12102,8226,25140,5603,18320,25623,30406,4921,118173,82064,14501
11,2005,Todos,13088,32418,28410,15923,50740,10339,34777,46708,61353,9729,244014,152739,25992
12,2010,Hombres,6757,18729,16767,9157,28401,7150,18003,37217,29425,6111,145829,83053,11706
13,2010,Mujeres,6973,17942,12052,9713,27284,7779,20145,41423,29031,5850,136724,99351,15076
14,2010,Todos,13730,36671,28819,18870,55685,14929,38148,78640,58456,11961,282553,182404,26782
15,2015,Hombres,7616,21804,19662,9482,29777,7293,18465,32012,28685,7795,128585,90196,12086
16,2015,Mujeres,7894,20893,14309,9828,26586,8030,20878,37864,28371,6591,123256,109118,15576
17,2015,Todos,15510,42697,33971,19310,56363,15323,39343,69876,57056,14386,251841,199314,27662
18,2020,Hombres,8695,24260,21754,10274,39468,9745,17931,33725,31162,14769,143613,97977,14856
19,2020,Mujeres,9205,23341,15156,10647,39785,10821,20273,38596,30671,12085,141308,121471,18166
20,2020,Todos,17900,47601,36910,20921,79253,20566,38204,72321,61833,26854,284921,219448,33022
