PASO_CRUCE,CANTIDAD
PTE. INT. TANCREDO NEVES,2681943
PTE. SAN ROQUE GONZALEZ DE SAN,2106480
SALVADOR MAZZA - YACUIBA,918424
PASO DE LOS LIBRES,893286
COLON - PAYSANDU,487906
AERO JORGE NEWBERY,459248
PTE. SAN IGNACIO DE LOYOLA,436861
GUALEGUAYCHU - FRAY BENTOS,426780
PTE. INT. SALTO GRANDE,334411
BUQUEBUS,296231
PUERTO CHALANAS,265520
PTE INT SANTO TOME - SAO BORJA,242767
ROU - COLONIA,239326
PASO CARDENAL ANTONIO SAMORE,220792
PASO BERNARDO DE IRIGOYEN,214306
AERO CORDOBA,213300
PASO AGUAS BLANCAS,206723
LA QUIACA - VILLAZON,193312
CRISTO REDENTOR (HORCONES),190070
POSADAS - ENCARNACION (FFCC),186633
CRISTO REDENTOR (LIBERTADORES),168681
AERO MENDOZA,166717
TERMINAL CRUCEROS PTO. BS. AS.,162366
PUERTO FORMOSA,131293
AERO ROSARIO,119700
SAN SEBASTIAN  ( USHUAIA ),109470
PASO DOROTEA,102656
INTEGRACION AUSTRAL,87079
CRISTO REDENTOR (USPALLATA),85593
PASO PINO HACHADO,83717
ROU - MONTEVIDEO,80522
PASO MAMUIL MALAL,80393
PUERTO USHUAIA,77344
MONTE AYMOND,73078
PASO RIO DON GUILLERMO,70241
PASARELA LA FRATERNIDAD,69580
COLONIA EXPRESS BAIRES,69350
PASO JEINIMENI - CHILE CHICO,55669
PUERTO SAN ANTONIO,52139
PUERTO ALBA POSSE (PF),49689
PASO DE JAMA,44643
PTO LIB. GRAL. SAN MARTIN (PF),42733
EL SOBERBIO - P.SOBERBO (PF),42596
ANDRESITO - CAPANEMA,41595
PUERTO PILCOMAYO (PF),35244
RIO FUTALEUFU ( RIO GRANDE ),32010
PEPIRI GUAZU - SAO MIGUEL,31359
PUERTO PASO DE LA BARCA (PF),31299
PUERTO IGUAZU - TRES FRONTERAS,26876
PUERTO COLONIA CANO,24990
AERO BENJAMIN MATIENZO (TUCUMA,24792
PUERTO TIGRE,24261
PASO LAURITA CASAS VIEJAS,22089
PUERTO MADRYN,20151
PUERTO MONTECARLO,19798
PUERTO WANDA,18987
AERO SALTA,17315
PASO ICALMA,16868
PUERTO MANI,14613
PUERTO ELDORADO,13210
HUEMULES,12926
PUERTO BUENOS AIRES,11419
PANAMBI - VERACRUZ,11371
PASO PEHUENCHE,11335
PASO PEREZ ROSALES,10968
PUERTO PIRAY,9356
AERO SAN FERNANDO,9282
PUERTO MADRYN (ALMIRANTE STORN,8969
PUERTO ITATI,8919
PASO HUA - HUM,8812
PUERTO SAN LORENZO,8624
AERO NEUQUEN,8346
PASO RIO ENCUENTRO,8033
PASO COIHAIQUE,7825
PUERTO SAN MARTIN,7244
PASO AGUA NEGRA,7102
PUERTO CANDELARIA,5629
PUERTO LA PLATA,5131
PUERTO ROSARIO,5102
PUERTO DE SAN ISIDRO,5044
PUERTO GUAZU GUAZUCITO,4629
PUERTO ALVEAR (PF),4586
PUERTO ZARATE,4575
AERO PALOMAR,4526
PASO SAN FRANCISCO,4493
AERO PUBLICO DE USHUAIA,4306
YACIRETA (CTES),4267
PASO EL CONDADO LAS MAMORAS,3857
PUERTO BAHIA BLANCA,3719
AERO EZEIZA - FBO,3617
PUERTO PASO DE LA PATRIA,3224
GRL BELGRANO - GRL BRUGUEZ,3070
PUERTO OLIVOS,3024
PUERTO MONTE CASEROS,2459
PUERTO SANTA ANA,2319
PUERTO ISLA MARTIN GARCIA,2270
PUERTO CAMPANA,2012
PASO SICO,1926
ING. PALLAVICINI - IBAÑEZ,1823
