,Year,Genero_Migracion,Bolivia (Plurinational State of),Brazil,Canada,Chile,Colombia,Ecuador,Germany,Israel,Italy,Japan,Mexico,Paraguay,Peru,Switzerland,Uruguay,Venezuela (Bolivarian Republic of)
0,1990,Hombres,10684,15178,5190,16212,1284,964,2209,12315,10390,1354,2142,25066,3502,2208,5658,4969
1,1990,Mujeres,11239,13172,5470,16484,1075,705,2290,13211,20955,1303,2198,25381,3578,2301,8901,4514
2,1990,Todos,21923,28350,10660,32696,2359,1669,4499,25526,31345,2657,4340,50447,7080,4509,14559,9483
3,1995,Hombres,12434,15391,5829,19651,1359,1140,2035,14003,9096,1416,2662,28910,3463,2682,7292,4809
4,1995,Mujeres,12707,12583,6207,19600,1112,814,2581,15500,16699,1534,2704,28615,3624,2567,10678,4329
5,1995,Todos,25141,27974,12036,39251,2471,1954,4616,29503,25795,2950,5366,57525,7087,5249,17970,9138
6,2000,Hombres,14043,15603,6608,22791,1434,1316,1861,15074,7802,1419,3312,32483,4050,3174,9589,4605
7,2000,Mujeres,14052,11994,7090,22979,1148,923,2871,16754,12443,1653,3313,31921,4232,2835,12102,4119
8,2000,Todos,28095,27597,13698,45770,2582,2239,4732,31828,20245,3072,6625,64404,8282,6009,21691,8724
9,2005,Hombres,16402,16308,7697,25600,1425,1598,4736,16457,21085,1366,5088,30947,4808,3384,11491,4778
10,2005,Mujeres,16016,12102,8226,25140,1115,1081,5603,18320,25623,1634,4743,30406,4921,3325,14501,4300
11,2005,Todos,32418,28410,15923,50740,2540,2679,10339,34777,46708,3000,9831,61353,9729,6709,25992,9078
12,2010,Hombres,18729,16767,9157,28401,1955,2500,7150,18003,37217,1430,7461,29425,6111,3773,11706,5012
13,2010,Mujeres,17942,12052,9713,27284,1431,1766,7779,20145,41423,1751,6713,29031,5850,4158,15076,4530
14,2010,Todos,36671,28819,18870,55685,3386,4266,14929,38148,78640,3181,14174,58456,11961,7931,26782,9542
15,2015,Hombres,21804,19662,9482,29777,2651,3149,7293,18465,32012,1304,7787,28685,7795,4066,12086,5158
16,2015,Mujeres,20893,14309,9828,26586,1813,2250,8030,20878,37864,1620,7427,28371,6591,4482,15576,4786
17,2015,Todos,42697,33971,19310,56363,4464,5399,15323,39343,69876,2924,15214,57056,14386,8548,27662,9944
18,2020,Hombres,24260,21754,10274,39468,3450,3560,9745,17931,33725,1619,8638,31162,14769,4540,14856,4791
19,2020,Mujeres,23341,15156,10647,39785,2269,2085,10821,20273,38596,2010,8050,30671,12085,4969,18166,4583
20,2020,Todos,47601,36910,20921,79253,5719,5645,20566,38204,72321,3629,16688,61833,26854,9509,33022,9374
